Ticker;CD_CVM;DENOM_CIA;CNPJ_CIA
ABEV3;23264;AMBEV S.A.;07.526.557/0001-00
ACES4;-;-;-
AEDU3;18961;-;-
AGEI3;-;-;-
ALLL11;17450;RUMO S.A.;02.387.241/0001-60
ALLL3;17450;RUMO S.A.;02.387.241/0001-60
ALOS3;22357;ALLOS S.A.;05.878.397/0001-32
ALPA4;10456;ALPARGATAS S.A.;61.079.117/0001-05
ALSO3;-;-;-
AMBV4;-;-;-
AMER3;20990;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;00.776.574/0001-56
ARCE3;-;-;-
ARCE4;-;-;-
ARCZ6;-;-;-
ARZZ3;22349;AZZAS 2154 S.A.;16.590.234/0001-76
ASAI3;25372;SENDAS DISTRIBUIDORA S.A.;06.057.223/0001-71
ATMP3;19100;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;04.032.433/0001-80
AURE3;26620;AUREN ENERGIA S.A.;28.594.234/0001-23
AZUL4;24112;AZUL S.A.;09.305.994/0001-29
AZZA3;22349;AZZAS 2154 S.A.;16.590.234/0001-76
B3SA3;21610;B3 S.A. - BRASIL, BOLSA, BALCÃO;09.346.601/0001-25
BBAS3;1023;BCO BRASIL S.A.;00.000.000/0001-91
BBAS4;1023;BCO BRASIL S.A.;00.000.000/0001-91
BBDC3;906;BCO BRADESCO S.A.;60.746.948/0001-12
BBDC4;906;BCO BRADESCO S.A.;60.746.948/0001-12
BBSE3;23159;BB SEGURIDADE PARTICIPAÇÕES S.A.;17.344.597/0001-94
BEEF3;20931;MINERVA S.A.;67.620.377/0001-14
BESP4;18724;BRADESPAR S.A.;03.847.461/0001-92
BIDI11;-;-;-
BIDI4;-;-;-
BISA3;-;-;-
BMTO4;-;-;-
BNCA11;-;-;-
BNCA3;-;-;-
BPAC11;22616;BCO BTG PACTUAL S.A.;30.306.294/0001-45
BPAN4;21199;BCO PAN S.A.;59.285.411/0001-13
BRAP4;18724;BRADESPAR S.A.;03.847.461/0001-92
BRAV3;25291;3R PETROLEUM ÓLEO E GÁS S.A.;12.091.809/0001-55
BRDT4;-;-;-
BRFS3;16292;BRF S.A.;01.838.723/0001-27
BRKM5;4820;BRASKEM S.A.;42.150.391/0001-70
BRML3;19909;BR MALLS PARTICIPACOES S.A.;06.977.745/0001-91
BRPR3;-;-;-
BRTP3;-;-;-
BRTP4;-;-;-
CASH3;25232;MÉLIUZ S.A.;14.110.585/0001-07
CCRO3;18821;CCR S.A.;02.846.056/0001-97
CESP5;-;-;-
CESP6;-;-;-
CEVA4;-;-;-
CGAS5;15636;CIA GAS DE SAO PAULO - COMGAS;61.856.571/0001-17
CIEL3;21733;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;01.027.058/0001-91
CLSC4;2461;CENTRAIS ELET DE SANTA CATARINA S.A.;83.878.892/0001-55
CMET4;-;-;-
CMIG3;2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64
CMIG4;2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG;17.155.730/0001-64
CMIN3;25585;CSN MINERAÇÃO S.A.;08.902.291/0001-15
COGN3;17973;COGNA EDUCAÇÃO S.A.;02.800.026/0001-40
CPFE3;18660;CPFL ENERGIA S.A.;02.429.144/0001-93
CPLE6;14311;CIA PARANAENSE DE ENERGIA - COPEL;76.483.817/0001-20
CPSL3;-;-;-
CRFB3;24171;ATACADÃO S.A.;75.315.333/0001-09
CRGT5;-;-;-
CRTP5;-;-;-
CRUZ3;-;-;-
CSAN3;19836;COSAN S.A.;50.746.577/0001-15
CSIP6;-;-;-
CSNA3;4030;CIA SIDERURGICA NACIONAL;33.042.730/0001-04
CSTB4;-;-;-
CTAX4;-;-;-
CTIP3;-;-;-
CVCB3;23310;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;10.760.260/0001-19
CXSE3;23795;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;22.543.331/0001-00
CYRE3;14460;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;73.178.600/0001-18
DASA3;19623;DIAGNOSTICOS DA AMERICA S.A.;61.486.650/0001-83
DURA4;-;-;-
DXCO3;21091;DEXCO S.A.;97.837.181/0001-47
EBEN4;-;-;-
EBTP3;-;-;-
EBTP4;-;-;-
ECOR3;19453;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;04.149.454/0001-80
EGIE3;17329;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19
ELET3;2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26
ELET6;2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS;00.001.180/0001-26
ELPL4;-;-;-
EMAE4;16993;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;02.302.101/0001-42
EMBR3;20087;EMBRAER S.A.;07.689.002/0001-89
EMBR4;20087;EMBRAER S.A.;07.689.002/0001-89
ENBR3;19763;EDP - ENERGIAS DO BRASIL S.A.;03.983.431/0001-03
ENEV3;21237;ENEVA S.A;04.423.567/0001-21
ENGI11;15253;ENERGISA S.A.;00.864.214/0001-06
EPTE4;-;-;-
EQTL3;20010;EQUATORIAL S.A.;03.220.438/0001-73
ERIC4;-;-;-
EVEN3;20524;EVEN CONSTRUTORA E INCORPORADORA S.A.;43.470.988/0001-65
EZTC3;20770;EZ TEC EMPREEND. E PARTICIPACOES S.A.;08.312.229/0001-73
FIBR3;-;-;-
FLRY3;21881;FLEURY S.A.;60.840.055/0001-31
GEPA4;18368;RIO PARANAPANEMA ENERGIA S.A.;02.998.301/0001-81
GETI11;-;-;-
GETI4;-;-;-
GFSA3;16101;GAFISA S.A.;01.545.826/0001-07
GGBR4;3980;GERDAU S.A.;33.611.500/0001-19
GNDI3;-;-;-
GOAU4;8656;METALURGICA GERDAU S.A.;92.690.783/0001-09
GOLL4;19569;GOL LINHAS AEREAS INTELIGENTES S.A.;06.164.253/0001-87
HAPV3;24392;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;05.197.443/0001-38
HGTX3;-;-;-
HYPE3;21431;HYPERA S.A.;02.932.074/0001-91
IGTA3;-;-;-
IGTI11;8672;IGUATEMI S.A.;60.543.816/0001-93
INEP4;7595;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;76.627.504/0001-06
IRBR3;24180;IRB - BRASIL RESSEGUROS S.A.;33.376.989/0001-91
ITSA4;7617;ITAÚSA S.A.;61.532.644/0001-15
ITUB4;19348;ITAU UNIBANCO HOLDING S.A.;60.872.504/0001-23
JBSS3;20575;JBS S.A.;02.916.265/0001-60
JHSF3;20605;JHSF PARTICIPACOES S.A.;08.294.224/0001-65
KLBN11;12653;KLABIN S.A.;89.637.490/0001-45
KLBN4;12653;KLABIN S.A.;89.637.490/0001-45
LAME4;-;-;-
LAND3;26000;TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.;40.337.136/0001-06
LCAM3;-;-;-
LIGT3;19879;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;03.378.521/0001-75
LIPR3;15784;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;01.104.937/0001-70
LOGG3;23272;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;09.041.168/0001-10
LREN3;8133;LOJAS RENNER S.A.;92.754.738/0001-62
LWSA3;24910;LWSA S/A;02.351.877/0001-52
MGLU3;22470;MAGAZINE LUIZA S.A.;47.960.950/0001-21
MMXM3;-;-;-
MRFG3;20788;MARFRIG GLOBAL FOODS S.A.;03.853.896/0001-40
MRVE3;20915;MRV ENGENHARIA E PARTICIPACOES S.A.;08.343.492/0001-20
MULT3;20982;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;07.816.890/0001-53
NETC4;-;-;-
NTCO3;24783;NATURA &CO HOLDING S.A.;32.785.497/0001-97
OIBR3;11312;OI S.A. - EM RECUPERAÇÃO JUDICIAL;76.535.764/0001-43
OIBR4;11312;OI S.A. - EM RECUPERAÇÃO JUDICIAL;76.535.764/0001-43
PALF3;-;-;-
PCAR3;14826;CIA BRASILEIRA DE DISTRIBUICAO;47.508.411/0001-56
PCAR4;14826;CIA BRASILEIRA DE DISTRIBUICAO;47.508.411/0001-56
PDGR3;20478;PDG REALTY S.A. EMPREEND E PARTICIPACOES;02.950.811/0001-89
PETR3;9512;PETROLEO BRASILEIRO S.A. PETROBRAS;33.000.167/0001-01
PETR4;9512;PETROLEO BRASILEIRO S.A. PETROBRAS;33.000.167/0001-01
PETZ3;25089;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;18.328.118/0001-09
PMAM4;9393;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;60.398.369/0004-79
POMO4;8451;MARCOPOLO S.A.;88.611.835/0001-29
POSI3;20362;POSITIVO TECNOLOGIA S.A.;81.243.735/0001-48
PRIO3;22187;PRIO S.A.;10.629.105/0001-68
PRML3;-;-;-
PRTX3;-;-;-
PTIP4;-;-;-
QUAL3;22497;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;11.992.680/0001-93
RADL3;5258;RAIA DROGASIL S.A.;61.585.865/0001-51
RAIL3;17450;RUMO S.A.;02.387.241/0001-60
RAIZ4;25917;RAÍZEN S.A.;33.453.598/0001-23
RCTB31;-;-;-
RCTB41;-;-;-
RDCD3;-;-;-
RDOR3;24821;REDE D'OR SÃO LUIZ S.A.;06.047.087/0001-39
RECV3;25780;PETRORECÔNCAVO S.A.;03.342.704/0001-30
RENT3;19739;LOCALIZA RENT A CAR S.A.;16.670.085/0001-55
REPA4;-;-;-
RLOG3;-;-;-
RRRP3;-;-;-
RSID3;16306;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;61.065.751/0001-80
RUMO3;-;-;-
SANB11;20532;BCO SANTANDER (BRASIL) S.A.;90.400.888/0001-42
SAPR11;18627;CIA SANEAMENTO DO PARANA - SANEPAR;76.484.013/0001-45
SBSP3;14443;CIA SANEAMENTO BASICO EST SAO PAULO;43.776.517/0001-80
SDIA4;-;-;-
SHAP4;-;-;-
SLCE3;20745;SLC AGRICOLA S.A.;89.096.457/0001-55
SMLS3;-;-;-
SMTO3;20516;SAO MARTINHO S.A.;51.466.860/0001-56
SOMA3;-;-;-
STBP3;17892;SANTOS BRASIL PARTICIPACOES S.A.;02.762.121/0001-04
SUBA3;-;-;-
SULA11;-;-;-
SUZB3;13986;SUZANO S.A.;16.404.287/0001-55
SUZB5;13986;SUZANO S.A.;16.404.287/0001-55
SYNE3;21040;SYN PROP & TECH S.A.;08.801.621/0001-86
TAEE11;20257;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;07.859.971/0001-30
TAMM4;-;-;-
TBLE6;-;-;-
TCOC4;-;-;-
TCSL4;-;-;-
TELB3;11258;TELEC BRASILEIRAS S.A. TELEBRAS;00.336.701/0001-04
TELB4;11258;TELEC BRASILEIRAS S.A. TELEBRAS;00.336.701/0001-04
TIMS3;24929;TIM S.A.;02.421.421/0001-11
TLCP4;-;-;-
TMAR5;-;-;-
TMAR6;-;-;-
TMCP4;-;-;-
TNEP4;-;-;-
TNLP3;-;-;-
TNLP4;-;-;-
TOTS3;19992;TOTVS S.A.;53.113.791/0001-22
TPRC6;-;-;-
TRJC6;-;-;-
TRPL4;18376;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;02.998.611/0001-04
TSEP4;-;-;-
TSPC3;-;-;-
TSPC6;-;-;-
UBBR11;-;-;-
UGPA3;18465;ULTRAPAR PARTICIPACOES S.A.;33.256.439/0001-39
UGPA4;18465;ULTRAPAR PARTICIPACOES S.A.;33.256.439/0001-39
UNIP6;11592;UNIPAR CARBOCLORO S.A.;33.958.695/0001-78
USIM3;14320;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;60.894.730/0001-05
USIM5;14320;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;60.894.730/0001-05
USIM6;14320;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;60.894.730/0001-05
VALE3;4170;VALE S.A.;33.592.510/0001-54
VALE5;4170;VALE S.A.;33.592.510/0001-54
VAMO3;24716;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;23.373.000/0001-32
VBBR3;24295;VIBRA ENERGIA S/A;34.274.233/0001-02
VCPA4;-;-;-
VIIA3;-;-;-
VIVA3;24805;VIVARA PARTICIPAÇÕES S.A.;33.839.910/0001-11
VIVO3;-;-;-
VIVO4;-;-;-
VIVT3;17671;TELEFÔNICA BRASIL S.A;02.558.157/0001-62
VIVT4;17671;TELEFÔNICA BRASIL S.A;02.558.157/0001-62
VVAR11;-;-;-
WEGE3;5410;WEG S.A.;84.429.695/0001-11
WHMT3;-;-;-
YDUQ3;21016;YDUQS PARTICIPACOES S.A.;08.807.432/0001-10
